date,rawContent,renderedContent,id,place
2021-09-21 23:59:54+00:00,@peakcapitolism and the liberals have been much better than the ndp at base building in immigrant communities in the GTA,@peakcapitolism and the liberals have been much better than the ndp at base building in immigrant communities in the GTA,1440465843662454790,
2021-09-21 23:59:44+00:00,"@cuttinchief @SS2_spacewrench @CNN America has never been about ""the best and brightest."" It's always been about the people; the workers, the immigrants, everyone. At least, it was supposed to be.","@cuttinchief @SS2_spacewrench @CNN America has never been about ""the best and brightest."" It's always been about the people; the workers, the immigrants, everyone. At least, it was supposed to be.",1440465801543225351,
2021-09-21 23:59:18+00:00,"Bruh Tony really called his side chick a refugee lmaoooo (she was a Russian immigrant). 

Lmaoooo","Bruh Tony really called his side chick a refugee lmaoooo (she was a Russian immigrant). 

Lmaoooo",1440465692688478214,
2021-09-21 23:58:49+00:00,"@leahmcelrath Yes, it’s our presidents @JoeBiden  and @KamalaHarris  border police that is teaching the immigrants a lesson.","@leahmcelrath Yes, it’s our presidents @JoeBiden  and @KamalaHarris  border police that is teaching the immigrants a lesson.",1440465573318590466,
2021-09-21 23:58:43+00:00,"@RepFitzgerald When will Republicans take Covid seriously, Butterball? Stop attacking immigrants. They aren't the problem.  Republicans killed almost 700K spreading covid","@RepFitzgerald When will Republicans take Covid seriously, Butterball? Stop attacking immigrants. They aren't the problem.  Republicans killed almost 700K spreading covid",1440465546793742347,
2021-09-21 23:58:40+00:00,"I dig into the stereotypes and the ways Chinese immigrants dealt with the Chinese Exclusion Act that was in force at the time, as well as how Chinese restaurants became a lifeline for immigrants hoping to reunite with their families.","I dig into the stereotypes and the ways Chinese immigrants dealt with the Chinese Exclusion Act that was in force at the time, as well as how Chinese restaurants became a lifeline for immigrants hoping to reunite with their families.",1440465533577531393,
2021-09-21 23:58:39+00:00,“It is not illegal to seek asylum in the United States.”  @JoyAnnReid also she says we need to talk about the Haitian immigrants in that language. “It is not illegal to seek asylum in the US. Period.,“It is not illegal to seek asylum in the United States.”  @JoyAnnReid also she says we need to talk about the Haitian immigrants in that language. “It is not illegal to seek asylum in the US. Period.,1440465529089630216,"{'_type': 'snscrape.modules.twitter.Place', 'fullName': 'Austin, TX', 'name': 'Austin', 'type': 'city', 'country': 'United States', 'countryCode': 'US'}"
2021-09-21 23:58:36+00:00,@DaRealNickBezz Are they calling the Haitians migrants and allowing the immigrants to apply for asylum? Does it seem the US is the only country that allows for illegal permanent residents?,@DaRealNickBezz Are they calling the Haitians migrants and allowing the immigrants to apply for asylum? Does it seem the US is the only country that allows for illegal permanent residents?,1440465518704533504,
2021-09-21 23:58:35+00:00,"RT:(@GettyImages) RT @GettyImagesNews: #Haitian #immigrants continue to crowd into a large makeshift camp at the U.S.-Mexico border in #DelRioTexas. Many have been deported to Haiti, while others have crossed the Rio Grande back into Mexico. 📷: @jbmoorephoto …","RT:(@GettyImages) RT @GettyImagesNews: #Haitian #immigrants continue to crowd into a large makeshift camp at the U.S.-Mexico border in #DelRioTexas. Many have been deported to Haiti, while others have crossed the Rio Grande back into Mexico. 📷: @jbmoorephoto …",1440465512496910343,
2021-09-21 23:58:33+00:00,"RT:(@GettyImages) RT @GettyImagesNews: Haitian immigrants cross the Rio Grande river back into Mexico from Del Rio, Texas to Ciudad Acuna, Mexico as U.S. immigration authorities began deporting immigrants back to Haiti from Del Rio. #RioGrande #DelRio More #GettyFootage 🎥 @j…","RT:(@GettyImages) RT @GettyImagesNews: Haitian immigrants cross the Rio Grande river back into Mexico from Del Rio, Texas to Ciudad Acuna, Mexico as U.S. immigration authorities began deporting immigrants back to Haiti from Del Rio. #RioGrande #DelRio More #GettyFootage 🎥 @j…",1440465505635037184,
2021-09-21 23:58:08+00:00,"@beerkoozie @leahmcelrath @sarahkendzior In my country, Canada, we get 300,000 immigrants per yr.– one of the highest rates per population of any country in the world. However, u can't just decide to come in illegally - though some do. There's many in the queue, &amp; it needs to be fair plus people need to be vetted.","@beerkoozie @leahmcelrath @sarahkendzior In my country, Canada, we get 300,000 immigrants per yr.– one of the highest rates per population of any country in the world. However, u can't just decide to come in illegally - though some do. There's many in the queue, &amp; it needs to be fair plus people need to be vetted.",1440465399347175439,
2021-09-21 23:58:05+00:00,@TheLeadCNN @jaketapper @RosaFlores are they vaccinating the immigrants?,@TheLeadCNN @jaketapper @RosaFlores are they vaccinating the immigrants?,1440465388995702785,
2021-09-21 23:57:55+00:00,@itsJeffTiedrich I agree !! And these ppl were desperate enough to@walk thousands of miles to get to America. I’d gladly replace #repugnants with these immigrants 1:1,@itsJeffTiedrich I agree !! And these ppl were desperate enough to@walk thousands of miles to get to America. I’d gladly replace #repugnants with these immigrants 1:1,1440465345945346051,
2021-09-21 23:57:51+00:00,"Why do people of colour and immigrants have to constantly have to justify themselves to be heard by others? I'm done with explaining my struggles. I'm more than that, we all are","Why do people of colour and immigrants have to constantly have to justify themselves to be heard by others? I'm done with explaining my struggles. I'm more than that, we all are",1440465328308310016,
2021-09-21 23:57:50+00:00,@News12NJ Phil should do something about the other undocumented immigrants in this state. The friggin spotted lantern flies. There aren’t going to be any trees left in this state because of those bastards.,@News12NJ Phil should do something about the other undocumented immigrants in this state. The friggin spotted lantern flies. There aren’t going to be any trees left in this state because of those bastards.,1440465323430346756,
2021-09-21 23:57:49+00:00,"@DutchessWoodall @BlackKnight10k I passed a church in a wealthy part of the city with a large banner welcoming immigrants and refugees.

In my head canon there's no silent ""if you believe as we do or accept our indoctrination.""

Welcoming is being helpful. Being helpful is communication. You'll find something.","@DutchessWoodall @BlackKnight10k I passed a church in a wealthy part of the city with a large banner welcoming immigrants and refugees.

In my head canon there's no silent ""if you believe as we do or accept our indoctrination.""

Welcoming is being helpful. Being helpful is communication. You'll find something.",1440465321106677762,
2021-09-21 23:57:40+00:00,"India and China has the most immigrants in foreign countries why is that🤔your countries are so bad even your own citizens lie to get the hell out.🤮

''Backstabber'' Sharad Pawar Can't Be Our Guru, Says Shiv Sena Leader - NDTV https://t.co/evceoabOq5","India and China has the most immigrants in foreign countries why is that🤔your countries are so bad even your own citizens lie to get the hell out.🤮

''Backstabber'' Sharad Pawar Can't Be Our Guru, Says Shiv Sena Leader - NDTV ndtv.com/india-news/bac…",1440465282498109449,
2021-09-21 23:57:38+00:00,@ybarrap @DodgsonMary Most Republicans will say the immigrants weren’t whipped.,@ybarrap @DodgsonMary Most Republicans will say the immigrants weren’t whipped.,1440465274667339783,
2021-09-21 23:57:36+00:00,"@HeugeneK @RBReich JFC... 

Americas Statue of Liberty tells the WORLD to send us their poor, needy, and those striving to be free, and America has been KNOWN as a melting pot.

Taking in Assylum Seekers is as American as apple pie, anyone fighting AGAINST immigrants are Anti-American","@HeugeneK @RBReich JFC... 

Americas Statue of Liberty tells the WORLD to send us their poor, needy, and those striving to be free, and America has been KNOWN as a melting pot.

Taking in Assylum Seekers is as American as apple pie, anyone fighting AGAINST immigrants are Anti-American",1440465263636344832,
2021-09-21 23:57:33+00:00,It’s a great example of how both the left and right collude to convince white women that police will protect them from an implicitly Black or “immigrant” threat when the primary threat to them is and always has been white men. The conflict of interest with police is obvious.,It’s a great example of how both the left and right collude to convince white women that police will protect them from an implicitly Black or “immigrant” threat when the primary threat to them is and always has been white men. The conflict of interest with police is obvious.,1440465252441726990,
2021-09-21 23:57:30+00:00,"@warrior0086 @mors_inevitabli @drdoolittle7761 @nytimes I mean... if poor people think that the main reason they're poor is other poor people, rather than the people who have all the money and aren't circulating it, then sure, their resentment will be increased by hardworking immigrants moving in next door.","@warrior0086 @mors_inevitabli @drdoolittle7761 @nytimes I mean... if poor people think that the main reason they're poor is other poor people, rather than the people who have all the money and aren't circulating it, then sure, their resentment will be increased by hardworking immigrants moving in next door.",1440465241830137865,
2021-09-21 23:57:28+00:00,@mitsyarty @OpinionsMove @GBNEWS @DouglasKMurray Still not sure how brits living in a country they invaded/colonised (delete as appropriate) doesn't make them immigrants.,@mitsyarty @OpinionsMove @GBNEWS @DouglasKMurray Still not sure how brits living in a country they invaded/colonised (delete as appropriate) doesn't make them immigrants.,1440465230186758148,
2021-09-21 23:57:01+00:00,Our Empire had many immigrants and nationalities. It was multi cultural... Douglas is wrong here,Our Empire had many immigrants and nationalities. It was multi cultural... Douglas is wrong here,1440465119134187523,
2021-09-21 23:57:00+00:00,Crazy how many people talk about how brave their families were for coming to Ellis island from wherever they were born but calling asylum seekers illegal immigrants….. not sure I understand,Crazy how many people talk about how brave their families were for coming to Ellis island from wherever they were born but calling asylum seekers illegal immigrants….. not sure I understand,1440465113346048010,
2021-09-21 23:56:59+00:00,@briantylercohen Explain why granting illegal immigrants amnesty was in it before.,@briantylercohen Explain why granting illegal immigrants amnesty was in it before.,1440465110246383619,
2021-09-21 23:56:52+00:00,"@kirstiealley Unless you're a Native American, your ancestors were immigrants, too.  Would you have wanted them to be treated poorly when they arrived?","@kirstiealley Unless you're a Native American, your ancestors were immigrants, too.  Would you have wanted them to be treated poorly when they arrived?",1440465082182352902,
2021-09-21 23:56:47+00:00,"We need to stop these racist immigration policies that basically criminalize being an immigrant of color!
@AliMayorkas should be ashamed!
#TheReidOut https://t.co/SMdfZSjr65","We need to stop these racist immigration policies that basically criminalize being an immigrant of color!
@AliMayorkas should be ashamed!
#TheReidOut https://t.co/SMdfZSjr65",1440465060665593863,
2021-09-21 23:56:46+00:00,"Subscribe to Lily's channel. She has a great platform coming up for her show regarding immigrants who have fled regimes for a better life in America. 
https://t.co/dRstt9BmIE","Subscribe to Lily's channel. She has a great platform coming up for her show regarding immigrants who have fled regimes for a better life in America. 
m.youtube.com/watch?v=Z5-riv…",1440465054097235971,
2021-09-21 23:56:45+00:00,@BhawnaMohile @SHEsus__Christ The Haitian immigrants are not mostly black?,@BhawnaMohile @SHEsus__Christ The Haitian immigrants are not mostly black?,1440465051639418888,
2021-09-21 23:56:43+00:00,"@97Hilo @tstrimple @PrairieOfMaples that's why we have ISIS. But wouldn't that mean that they would hate us more if we also don't fulfill our own promise to take them in? If racist laws and communities make immigrants more extremist &amp; violent, wouldn't that mean that being less racist has the opposite affect?","@97Hilo @tstrimple @PrairieOfMaples that's why we have ISIS. But wouldn't that mean that they would hate us more if we also don't fulfill our own promise to take them in? If racist laws and communities make immigrants more extremist &amp; violent, wouldn't that mean that being less racist has the opposite affect?",1440465044215513089,
2021-09-21 23:56:30+00:00,Because the immigrants from the border won’t stay long even though they are traveling from Haiti.,Because the immigrants from the border won’t stay long even though they are traveling from Haiti.,1440464990356471808,
2021-09-21 23:56:29+00:00,"Our fierce community leader and essential worker @sanlesbertha asked @MayorDaniella during the Community Forum with @AlPuntoFL:

“As our county mayor, how can you protect immigrants from racist state laws like #SB168 that force police to work with ICE and deport our families?” https://t.co/bAElK8BRWl","Our fierce community leader and essential worker @sanlesbertha asked @MayorDaniella during the Community Forum with @AlPuntoFL:

“As our county mayor, how can you protect immigrants from racist state laws like #SB168 that force police to work with ICE and deport our families?” https://t.co/bAElK8BRWl",1440464985637806084,
2021-09-21 23:56:21+00:00,"@ackocher Agree!  After all, our country was founded by immigrants…","@ackocher Agree!  After all, our country was founded by immigrants…",1440464951089381382,
2021-09-21 23:56:09+00:00,@SkyNewsAust Sky News has reports that immigrants and leftist protesters could be responsible.,@SkyNewsAust Sky News has reports that immigrants and leftist protesters could be responsible.,1440464902053711879,
2021-09-21 23:56:04+00:00,Bruh my father a wholeeeeee immigrant and be talking shit you not even a fckn citizen like stfu,Bruh my father a wholeeeeee immigrant and be talking shit you not even a fckn citizen like stfu,1440464880977399811,
2021-09-21 23:55:59+00:00,"@News4SA Easy; let them in, provide care to the immigrants to which are doing nothing wrong but escaping horrendous conditions with their families. Something conservatives would never do because they have no empathy. Ghouls","@News4SA Easy; let them in, provide care to the immigrants to which are doing nothing wrong but escaping horrendous conditions with their families. Something conservatives would never do because they have no empathy. Ghouls",1440464860727300098,
2021-09-21 23:55:59+00:00,"Biden calls illegal immigrants “brave” during released video on Citizenship Day, goes on to insult Americans https://t.co/yUKrDRkw5X","Biden calls illegal immigrants “brave” during released video on Citizenship Day, goes on to insult Americans lawenforcementtoday.com/biden-calls-il…",1440464859854880780,
2021-09-21 23:55:56+00:00,"@cacti4free Only 12,000 illegal immigrants? Gotta pump those numbers up","@cacti4free Only 12,000 illegal immigrants? Gotta pump those numbers up",1440464846961602566,
2021-09-21 23:55:51+00:00,@RichLowry I would argue that last time you got close to an illegal immigrant you were probably paying her six bucks an hour to watch your kids. #Hypocrites,@RichLowry I would argue that last time you got close to an illegal immigrant you were probably paying her six bucks an hour to watch your kids. #Hypocrites,1440464827164487694,
2021-09-21 23:55:49+00:00,@GregAbbott_TX Taken the lead by having immigrant whipped?,@GregAbbott_TX Taken the lead by having immigrant whipped?,1440464814816464900,
2021-09-21 23:55:42+00:00,@EricaEhm Liberal!  I am an immigrant who came to the country under Trudeau father.   I will always vote Liberal.,@EricaEhm Liberal!  I am an immigrant who came to the country under Trudeau father.   I will always vote Liberal.,1440464786748162050,
2021-09-21 23:55:33+00:00,@Jim_Jordan We need more illegal immigrants to fill the open jobs in this country.,@Jim_Jordan We need more illegal immigrants to fill the open jobs in this country.,1440464748152180744,
2021-09-21 23:55:29+00:00,@FoxNews I would love to know how many illegal immigrants your are taking in your homes personally . The average cost to taxpayers is mounting daily it’s over 4 billion annually and that’s not accounting for schools or state resources . We spend more on illegals than on the elderly .,@FoxNews I would love to know how many illegal immigrants your are taking in your homes personally . The average cost to taxpayers is mounting daily it’s over 4 billion annually and that’s not accounting for schools or state resources . We spend more on illegals than on the elderly .,1440464732276682761,
2021-09-21 23:55:17+00:00,"@meant2wander @cspan @SenSchumer What hundreds of thousands of white immigrants? And I’m asking seriously, not being obnoxious.","@meant2wander @cspan @SenSchumer What hundreds of thousands of white immigrants? And I’m asking seriously, not being obnoxious.",1440464683090079748,
2021-09-21 23:55:03+00:00,@maddow Are all of the immigrants that are allowed to stay in our country being vaccinated,@maddow Are all of the immigrants that are allowed to stay in our country being vaccinated,1440464624336314373,
2021-09-21 23:55:03+00:00,"#migrants - People who move regularly in order to find work.

#immigrants - People who use the #legal process to obtain citizenship in a country.

#ILLEGALALIENS - people who break #laws (border crossing, tunneling etc) to access a country. 

Don't F with our language.","#migrants - People who move regularly in order to find work.

#immigrants - People who use the #legal process to obtain citizenship in a country.

#ILLEGALALIENS - people who break #laws (border crossing, tunneling etc) to access a country. 

Don't F with our language.",1440464622234996751,
2021-09-21 23:54:58+00:00,"2/7 They’ve endured anti-Black violence at the hands of Customs and Border Protection, with reported shouts of “Go Back to Mexico” despite many of the migrants originating from Haiti, further adding to the erasure of Black immigrants in the discussion around immigration.","2/7 They’ve endured anti-Black violence at the hands of Customs and Border Protection, with reported shouts of “Go Back to Mexico” despite many of the migrants originating from Haiti, further adding to the erasure of Black immigrants in the discussion around immigration.",1440464603285057539,
2021-09-21 23:54:55+00:00,I spent the day talking about the immigrant experience in Europe woth white Europeans and I swear this is the most frustrating shit I have experience,I spent the day talking about the immigrant experience in Europe woth white Europeans and I swear this is the most frustrating shit I have experience,1440464590177849351,
2021-09-21 23:54:54+00:00,"AFIRE remains in solidarity in the fight for immigrant rights, and we will continue to engage elected officials to advocate for these pathways. We will redouble our efforts in order to win citizenship for all."" (4/4)
#Citizenship4All #PadayonPilipinxao","AFIRE remains in solidarity in the fight for immigrant rights, and we will continue to engage elected officials to advocate for these pathways. We will redouble our efforts in order to win citizenship for all."" (4/4)
#Citizenship4All #PadayonPilipinxao",1440464584352010253,
